"topic","gamma","TopicLabel","Title","Abstract","Year","Country"
1,0.985804267862688,"Reading Comprehension and Language Processing","The effect of lexical predictability on word processing in fast and slow readers during Chinese reading","Abstract: According to the lexical quality hypothesis, high proficient (fast) readers have well-specified lexical representations which enable automatic word identification and less context decoding, while low proficient (slow) readers rely on context for word identification during reading due to their imprecise lexical quality. In contrast, the predictive coding framework assumes that high proficient readers rely more on their reading experience to predict the upcoming context compared to low proficient readers. However, it is still unclear how skilled readers with different levels of reading proficiency rely on context information (e.g., predictability) for word processing during Chinese reading. In two experiments, the present study aimed to investigate individual differences in the use of predictability for word identification by using the eye-tracking technique.
In Experiment 1, eye movements of fast and slow readers were recorded while they were reading sentences containing predictable or unpredictable target words, with the aim to investigate the differences in predictability effects between the two groups. Sixty pairs of predictable-unpredictable target words were selected, each of which was embedded into the same sentence frame. Fifteen fast and 15 slow readers, selected from a group of 66 participants based on their reading rates, participated in Experiment 1. In Experiment 2, parafoveal previews of the 60 predictable target words (identical word, visually similar pseudocharacter, unpredictable word or visually dissimilar pseudocharacter) were manipulated by using the boundary paradigm to explore how parafoveal preview influences processing of predictability information in the fast and slow readers. The eye movements of 20 fast and 20 slow readers, selected from a group of 80 participants on the basis of their reading rates, were recorded while they were reading sentences containing predictable target words with different previews in Experiment 2.
The results showed that fast readers fixated shorter and less on the target words and were more likely to skip the target words than slow readers. In Experiment 1, although reliable predictability effects with shorter fixations for predictable than unpredictable words were found, it did not interact with reading groups. However, results in Experiment 2 showed robust parafoveal preview effects on the target word which interacted with reading groups. In particular, the two groups had the same first-pass fixation times (i.e., FFD, SFD, GD) at the target words under the identical previews, while slow readers made longer fixations than fast readers at the targets with unpredictable previews or unrelated previews. In addition, fast readers skipped target words at a similar probability under both the identical preview and unpredictable preview conditions, while slow readers were less likely to skip target words with unpredictable previews than identical previews.
The current findings indicate that fast and slow readers rely on context to a similar degree during their foveal lexical processing whereas the two groups show different utilization of previews of the predictable word during their parafoveal processing. To be specific, compared to fast readers, slow readers are inefficient in activating the predictable word with a visually similar preview; moreover, slow readers are disturbed more by the unpredictable preview or the visually dissimilar preview for their lexical processing, which suggests that slow readers are less effective in suppressing unrelated or inappropriate information during reading. Such findings provide evidence for the lexical quality hypothesis and are in support of the linguistic-pro?ciency hypothesis related to individual differences in the E-Z reader model.
Key words: predictability, foveal processing, parafoveal preview, fast reader, slow reader, Chinese reading",2023,"China"
1,0.978963894444504,"Reading Comprehension and Language Processing","The Parafoveal processing of Character N+1 and Character N+2 Serially Influence the Target Selection During Chinese Reading","Abstract: Whether both the processing of character N+1 and character N+2 in parafoveal affects the target selection during Chinese reading or not is still unknown. In current study, the boundary paradigm (Rayner, 1975) was used to investigate this question, the previews of character N+1 and character N+2 which are belonged to a two-character word were manipulated, identical character or pseudocharacter were used as these two kind of previews. Results showed that fixation durations on target word were significantly shorter when the preview of character N+1 was identical than when it was a pseudocharacter. the same pattern appeared when both of the previews of character N+1 and character N+2 were identical, compared to the the previews of character N+2 was pseudocharacter. The length of the outgoing saccade from the pretarget to the target region was significantly longer when the preview of character N+1 was identical compared to when it was a pseudocharacter. And when the preview of character N+1 was identical, the length of the outgoing saccade from the pretarget to the target region was significantly longer when the preview of character N+2 was identical compared to when it was a pseudocharacter. However, changing previews of character N+2 had no influence on the outgoing saccade when the preview of character N+1 was a pseudocharacter. The results indicated that character N+1 and character N+2 were preprocessed in the parafoveal before they were fixated. Parafoveal processing of character N+1 modulated the saccade target selection. The effect of parafoveal processing of character N+2 on saccade target selection is modulated by the processing load of character N+1. Key words: Chinese reading, parafoveal processing, target selection, eye movement",2017,"China"
1,0.976932069152135,"Reading Comprehension and Language Processing","The Role of the First Character Frequency in Low-Frequency Two-Character Words in Parafoveal Processing in Chinese Reading","Abstract: To investigate the effect of processing load on character frequency during parafoveal processing, we selected low-frequency two-character words with different frequencies as parafoveal target words. At the same time, the boundary paradigm was used to manipulate the preview types of the first character in target word (identical preview vs. pseudo-character preview). An eye tracker was used to record eye movements of the participants during reading. A significant preview effect was found on both the first characters and the whole words of the target words. Participants spent shorter fixation time on target words when the first character of the target word was unmasked compared to that masked by pseudo-character. The main effect of character frequency on the gaze duration and total fixation time of target words was significant, and the gaze duration and total fixation time of low-frequency characters were significantly longer than that of high-frequency characters. However, there was no interaction between the two. The results showed that the preview effect is not influenced by the character frequency of the low-frequency two-character word, but the recognition of the low frequency word is affected by the frequency of the first character. Key words: parafoveal processing, character frequency, preview effect, Chinese reading",2022,"China"
1,0.976183155701391,"Reading Comprehension and Language Processing","Word Frequency Effects in Fast and Slow Readers During Skilled Chinese Reading","Abstract: Research on alphabetic language reading has shown that highly skilled readers were more efficient at lexical processing than less skilled readers. However, it remains unclear whether lexical processing shows different patterns between fast readers and slow readers during skilled Chinese reading. The current study aimed to examine this issue by comparing the word frequency effects in fast and slow readers. Fifteen groups of fast and slow readers were selected from a total number of 67 participants based on their reading rates. Each participant was required to read sentences containing either high- or low- frequent target words while their eye movements were recorded by an EyeLink1000 Plus eye tracker. The results showed robust word frequency effect and reading group effect. Importantly, word frequency effect was modulated by reading group such that the word frequency effect was only reliable in slow readers rather than in fast readers. In conclusion, lexical processing in fast readers is highly efficient and is less influenced by word frequency than that in slow readers, indicating that individual differences in skilled Chinese readers are associated with “type” rather than “degree”. This finding provides strong evidence for lexical quality hypothesis and the linguistic-pro?ciency hypothesis in the E-Z Reader model. Key words: reading speed, word frequency effect, Chinese reading, eye movement",2022,"China"
1,0.97539390544885,"Reading Comprehension and Language Processing","Are the Literal Meanings of Constituents Activated in Chinese Idioms’ Processing? Evidence from the Semantic Preview Effect","The literal meanings of constituents in Chinese idioms typically cannot be directly combined to derive their figurative meaning. Whether the literal meanings of the constituents are activated during idiom processing remains unclear. To explore this issue, 78 constituent words of idioms were embedded into both literal and idiomatic contexts. The boundary paradigm was used to manipulate the preview of constituent words (correct, semantic related, or semantic unrelated preview). Eye movements of 78 participants were recorded with an SR Research EyeLink 1000Plus eye tracker. The results on the constituent words showed a significant semantic preview benefit during first-pass reading, with shorter fixation times under semantically related previews compared to semantically unrelated previews, regardless of context. Moreover, in idiomatic contexts, the semantic preview effect was significant under relatively high semantic transparency, but not for those with relatively low semantic transparency. Our findings indicate the literal meanings of constituent words are activated during idiom processing which is modulated by semantic transparency, in line with the hybrid models.",2025,"China"
1,0.974879752854156,"Reading Comprehension and Language Processing","The Role of Character Positional Probability During Chinese Reading: Evidence from Eye Movements of Uyghur Readers","The present study used eye tracker technique to examine whether Uyghur readers with Chinese as second language utilizes character positional probability during Chinese reading. We manipulated the character positional probability of target words, such that half target words had both high probability of being the first character of words for the initial character and being the last character of words for the final character (HH), and the other half had both low probability of being the first character of words for the initial character and being the last character of words for the final character (LL). The results showed that Uyghur readers processed HH words more easily than LL words, with shorter regression path duration and total fixation time, lower regression in and regression out probabilities, fewer total fixation counts at HH words, and closer initial landing position to the center of HH words. Such effects were influenced by learning times of target words. In conclusion, Uyghur readers can utilize character positional probability information to facilitate their late lexical processing and saccade targeting during Chinese reading. Key words: Uyghur readers, character positional probability, Chinese reading",2024,"China"
1,0.974424095735588,"Reading Comprehension and Language Processing","Eye Movements in Silent and Oral Sentence Reading Among Chinese First Graders","Silent reading and oral reading are two important reading modes. Individual starts to systematically learn silent and oral reading skills normally from the first grade. Yet, few studies have compared these two reading modes for first graders. Therefore, the present study used EyeLink 1000 eye tracker to record the first graders’ eye movements while they were reading Chinese sentences containing high or low frequency words. The results showed that, the first graders made shorter fixations, longer saccades, and thus were more efficient at lexical and sentences processing during silent reading compared to oral reading. The reading mode modulated word frequency effect at the proportion of regressions, with larger frequency effect during oral reading than that during silent reading. Additionally, fast readers showed greater difference in reading modes effect compared to slow readers. These findings suggest that Chinese first graders show different characteristics of cognitive processing during silent and oral reading. Key words: silent reading, oral reading, Chinese, first graders, eye movements",2024,"China"
1,0.974049849086166,"Reading Comprehension and Language Processing","The Characteristics of Word Processing When Deaf Readers Read Chinese: Evidences from Disappearing Text","Abstract: Two experiments were conducted to explore whether deaf students process words differently to hearing students in Chinese reading. Experiment 1 was a 4 (disappearing manipulations: control vs. word n+1 disappearing vs. initial character of word n+1 disappearing vs. end character of word n+1 disappearing) × 3 (groups: deaf vs. reading matched hearing vs. age matched hearing) mixed design. The results showed reliable interaction effects for sentence reading time between groups and disappearing manipulations. Word n+1 disappearing impedes reading more seriously than the other disappearing manipulations for the three groups. Experiment 2 was also a 4 (disappearing manipulations: control vs. word n disappearing vs. initial character of word n disappearing vs. end character of word n disappearing) × 3 (groups: deaf vs. reading matched hearing vs. age matched hearing) mixed design. The results showed unreliable interaction effects for sentence reading time between groups and manipulations. The results suggest that deaf readers have enhanced parafoveal character processing ability, and a similarity between deaf and hearing readers in their recognition of multi-character words. Key words: disappearing text, deaf readers, Chinese reading, word processing",2021,"China"
1,0.973881357130406,"Reading Comprehension and Language Processing","1: The influence of initial and final character positional probabilities on the flexibility of position coding in two-character word identification","关键词: 词素转置效应, 词素位置概率, 词汇位置编码, 双字词识别 Abstract: Letter/character position information plays an important role in visual word identification. In alphabetic and Chinese reading, a bulk of studies using the lexical decision paradigm have shown that a transposed letter/character (TL/TC) nonword prime, created by transposing two adjacent letters/characters of a word, activates the representation of its base word to a greater degree than a substituted letter/character (SL/SC) nonword prime, in which two corresponding letters/characters, or even one letter/character are replaced. This phenomenon is called the Transposed Letter / Character effect, indicating that the letter/character position encoding is not strict during word identification. In alphabetic languages (like English, German and Spanish), letter order encoding mechanism have been included in the models of word recognition in different ways. Chinese is a logographic language, with quite different characteristics from alphabetic languages, so the letter position encoding models developed from alphabetic languages might not be fully applied to Chinese. In the present study, we conducted two parallel experiments to examine whether and how character positional probabilities influenced the degree of flexibility of position encoding in two-character word identification. We utilized a masked priming paradigm lexical judgment task and manipulated the priming type (original word priming, transposed word priming, substitution priming) and priming times (80 ms, 150 ms, 300 ms). In Experiment 1, we examined how word’s initial character's positional probability influenced the degree of flexibility of position coding in two-character word identification. The initial character’s positional probability of two-character target words was manipulated as being either high or low, and the final character was kept identical across the two conditions. In Experiment 2, an analogous manipulation was made for the final character of the target word to check whether the final character's positional probability of two-character words influenced the degree of flexibility of position coding in two-character word identification. We found that the positional probability of both the initial and final character of a word influences Chinese two-character word identification. To be somewhat different, the positional probability of final character was processed throughout the whole lexical identification (from 80 ms to 300 ms), whereas the positional probability of initial character was processed only in the middle stage of lexical identification (around 150 ms). This finding suggests that the final character's positional probability is more important than that of initial character’s during Chinese two-character word identification. Furthermore, the positional probability of the initial character rather than the final character modulated the degree of flexibility of position coding in two-character word identification, such that the more frequently a character being used as word beginning, the more flexible of position coding. Based on these findings, we argue that the role of positional probability of initial and final character might be somewhat different during Chinese word identification: the positional probability of initial character may be related to positional information processing, whilst the positional probability associated with the final character might be more related to identity information processing in word identification. Key words: transposed-character effect, character positional probability, character position encoding, two-character word identification",2025,"China"
1,0.972293682266172,"Reading Comprehension and Language Processing","The Effect of Morpheme Frequency on Chinese Compound Word Recognition---Evidences From Intermediate Indonesian-Chinese Learners","Abstract: The goal of this study was to investigate the effect of morpheme frequency on compound word recognition for intermediate Indonesian-Chinese learners by using a word decision task. The study found that morpheme frequency affected Chinese compound word recognition for intermediate Indonesian-Chinese learners. In addition, the morpheme frequency effect was modulated by the position of morpheme. High frequency of initial morpheme gave rise to higher word decision accuracy than low frequency. The effect of final morpheme frequency on word recognition was modulated by the frequency of the initial morpheme. Final morpheme frequency affected word recognition only when the initial morpheme frequency was high. No significant effect was found when the initial morpheme frequency was low. The results supported that intermediate non-native Chinese learners have established morphemic representation with vocabulary development, and the frequency of initial morpheme played a more important role in Chinese compound word recognition than final morpheme. Key words: morpheme, frequency, compound word, intermediate Indonesian-Chinese learners",2018,"China"
