"topic","gamma","docCNYear","TopicLabel","Title","Abstract...Key.Words"
1,0.996629213483146,2016,"Social Cognition and Psychological Theory","38: Form, Feature and Evaluation of Explanation Psychology","The debate between explanation and understanding originated from the debate between Dilthey and Ebbinghaus, and run though the development of psychology. It seems that this is a debate about the purpose and task of psychology. In fact, it is a debate between two kinds of psychology with different forms and routes. The task of explanation psychology is to explain the nature, the rule and the mechanism of the mental and behavior. There are four forms of explanation psychology, such as mental-mental and mental-object relation explanation, stimulate-reaction explanation, cognitive mental-neural mechanisms explanation, evolved psychological mechanism explanation. The methodology of explanation psychology has the distinctive feature of scientism, which emphasizes physicalism, mechanism, biologism worldview, correspondence theory of epistemology, and reductionism, objectivism, logicism methodology. There are different research topics during every period of the development of explanation psychology. Therefore, it focuses on different key points. Every period of the development of explanation psychology has different features of scientism. The methodology of the creation period of explanation psychology can be called psychologism paradigm. The methodology of behavioral explanation psychology can be called behaviorism paradigm. The methodology of modern cognitive psychology can be called information processing paradigm. Both cognitive neuroscience and evolutionary psychology expanded the scientism ideological line of psychology. During the process of the application of the theory and method of natural science, it contributed to forming a more solid foundation of natural science for the scientism. During the history of the psychology development, the explanation psychology and the understanding psychology hold opposite ideas and strongly disagree with each other. But it is clear that the explanation psychology has always led the mainstream of psychology. On one side, the explanation psychology has been devoted to the study of human nature, highlighted the scientism pursuit of psychology, built the natural image of human. Therefore it has expended the connotation of psychology as a natural science. While the understanding psychology is in a non mainstream position. On the other side, it raised the social and cultural nature of human, showed the humanistic care of psychology, built the image of human which is different from object, and drew the profile of psychology as a humanistic science. Both the explanation psychology and the understanding psychology has promoted the independence and maturity of psychology, and both of them contribute to the reality of today's psychology. In the future, in order to build a complete and clear image of human, in order to show the overall nature of human as the ideal, we could predict that the healthy development of psychology needs to abandon the either-this-or-that way of thinking that embedded in both explanation psychology and understanding psychology. Therefore the establishment of an integrated view of psychology is badly needed. Only in this way, many opposite poles in both explanation psychology and understanding psychology, such as explanation and understanding, reductionism and holism, objectivism and subjectivism, logicism and intuitionism, etc, can find their proper space, psychology will achieve a complete unity of thorough scientism and humanism, and only in this way psychology in the future will be able to burden the responsibility to build the complete image and show the full nature of human. NA"
1,0.993987341772152,2018,"Social Cognition and Psychological Theory","Thoughts on psychological problems with Chinese characteristics","Abstract: Abstract Social psychology with Chinese characteristics should respond to the social problems different from those in Europe and America arising from the unique process of social transformation in China, and solve the specific social problems arising from the process of reform and development, so as to establish the research of psychology with Chinese characteristics. The psychology oriented by natural science is based on the essence of human beings, and it is more universal all over the world. the psychology oriented by social science can embody the Chinese characteristics of psychology. There are two ways to ask questions with Chinese characteristics: one is to ask questions from general research to thinking about the extended meaning of research conclusions; Second, under the background of social governance, the "" endogenous"" type puts forward the psychological problems of social governance. The problem of Chinese characteristics in the study of psychology with Chinese characteristics is a realistic problem which is "" endogenous"" in the process of building socialism with Chinese characteristics in the new period, embedded in the overall goal of deepening reform in an all-round way and the overall layout of "" five in one"". "" endogenously"" to put forward the psychological problems with Chinese characteristics has two meanings: first, we should start from the reality and specific problems in the process of social transformation in China, put forward the academic problems with practical care and solve the specific difficulties in social development; Second, we should have deeper humanistic care and spiritual care, and respond to the social problems caused by the great changes of contemporary Chinese people's spiritual level formed by the social transformation and social change from the psychological point of view. After putting forward the psychological problems with Chinese characteristics, how to solve these problems? The study of psychology with Chinese characteristics should choose the appropriate research method according to the characteristics of the problem on the basis of learning from western psychology research methods. The development of western psychology has gone through a process of changing from "" subjectivism"" with introspection as the main method to "" objectivism"" with empirical research as the main method. In the study of specific problems, not one-sided opposition to the use of empirical research methods of western psychology, or into a "" qualitative and quantitative methods bimodal confrontation situation"", but should be based on practical problems, research stage to choose "" suitable"" causal explanation method. As far as the development of psychology is concerned, extracting and solving practical problems from the process of China's deepening reform and social transformation in an all-round way can stimulate the "" research interest"" of Chinese psychologists, make Chinese psychology better "" make a valuable explanation to the social psychology of the Chinese people in the transitional period"", and better promote the "" localization of social psychology in China""; At the same time, through "" promoting the spiritual significance of China's social transformation in the world"", promote the status of Chinese psychology in the world, and Europe and the United States psychology for equal dialogue. As far as China's social development is concerned, by transforming social reality problems into psychological research problems and solving these problems through psychological methods, we can provide practical assistance for the realization of the overall goal of deepening reform in an all-round way and the promotion of the "" five - in - one"" general layout, provide practical suggestions for building a well-off society in an all-round way, and provide feasible paths for the formation of people's happiness and sharing the fruits of social development under the "" people - oriented"" strategy. Key words: Keywords Psychology with Chinese characteristics asking questions research methods"
1,0.993478260869565,2023,"Social Cognition and Psychological Theory","Implementing the Spirit of the 20th CPC National Congress: To Build a Chinese-Style Psychological Theoretical System","Abstract: Chinese psychology has made great progress in the past hundred years. However, under the influence of western scientism, there are some problems in the research object of Chinese psychology, such as the study of human elements, mental equal to material, and some limitations in the research paradigm, such as reductionism and mechanism, which lead to the shortcomings of Chinese psychology in serving the social reality of China. The report to the 20th CPC National Congress clearly pointed out the “two combinations”, that is, combining the basic tenets of Marxism with China’s specific realities and excellent traditional culture. The “two combinations” provides guidelines to build a psychological theory system with Chinese style. In the face of the problems of China’s national and social development, Chinese psychology should realize that human beings have multi-dimensional attributes such as biology, psychology, culture, society and politics. Meanwhile, we should study the fundamental questions of what are human beings, human psychology and thought, human attributes and development, human behavior in reality and human ultimate pursuit of the meaning of life under the guidance of Marxism. The fundamental principle of reconstructing the theoretical system of Chinese psychology is to adhere to and develop Marxism, and constantly promote the innovation of Chinese excellent traditional culture, to enrich the theoretical system of Chinese psychology. Key words: the spirit of the 20th CPC National Congress, Marxism, the theoretical system of Chinese psychology, Chinese style"
1,0.99023569023569,2017,"Social Cognition and Psychological Theory","36: Empirical Phenomenological Psychology: Inheritance and Development of Giorgi to Husserlian Phenomenology","Abstract: Abstract Amedeo Giorgiï¼Œan American phenomenological psychologistï¼Œinherited and modified Husserlian Phenomenology from scientific and psychological perspective, which is mainly shown in the following three aspects: First, on the subject of criticism, Giorgi takes in Husserlian phenomenology in terms of naturalism and spiritualism, which holds that they can't bring people any truth owing to their own shortcomings, and they even prevent people from accessing to the truth. Basing on this, Giorgi further points out that natural science psychology has a long history and has been dominating this field for over one hundred yearsï¼Œbut it is obvious that natural science orientation is unsuited to psychology due to the totally different nature between object and human. In addition, he urges that phenomenological principles are valued and considered as an important approach in psychology to investigating the full range of behavior and experience of human as a person, which is also scientific. Second, on the starting point and basic principles, Giorgi takes it seriously the concepts of Husserlian phenomenology such as the lifeworld, intentionality, reduction and important others, and he accepts that consciousness was intentional, which means that an act of consciousness always directs towards an object. In this way, researchers can get essence of experience rooted in lifeworld by reduction and description. For psychological and scientific purposes, Giorgi transformed them from transcendent level to experience level. For example, he adopted concepts of usual lifeworld, bracketing and eidetic reduction rather than transcendental lifeworld and reduction. Third, on the research methods, Giorgi partially agrees with Husserl's theory that researchers can get the essence by methods of reduction and description. Nevertheless, considering that psychology is different from philosophy, basing on former studies, Giorgi built up a specific and operational descriptive phenomenological psychology method, which contains four stages: reading for overall meaning, identifying meaning-units, assessing the psychological significance of meaning-units, and getting the general structure of the experience. As a result, a large number of specific studies are born to follow him. Empirical phenomenological psychology can be traced to Husserlian Phenomenology in essence, and considered as the most perfect exhibition of the theory. What's more, it enriches and goes beyond the latter in specific concepts and applications. Besides, it develops a rigorous and scientific phenomenological psychology approach. The emergence of empirical phenomenological psychology means that American phenomenological psychology has already completed its propaedeutic phase and turned into the phases of concrete action. It is the first phenomenological psychology method in American and the most mature method of phenomenological psychology nowadays. We should fully recognize empirical phenomenological psychology. On the one hand, it possesses many advantages: It adds a completely new method to psychology and achieves a thorough breakthrough in methodology, and raises a series of thinking on the basic theory of psychology, as well as realizes the combination and mutual promotion of psychology and philosophy; on the other hand, difficulties also exist. For example, the research depends too much on the researcher's individual ability, findings are not always adopted properly in practice, researchers can't use it correctly due to the lack of phenomenological knowledge, internal views vary and mainstream psychology brings much stress to it. In a word, the development of empirical phenomenological psychology is fraught with difficulties, but we should still believe that it and psychology of the humanities will continue to advance in future. Key words: Key words: Empirical phenomenological psychology, Husserlian phenomenology, Lifeworld, Intentionality"
1,0.985,2022,"Social Cognition and Psychological Theory","Theoretical Basis and Realization Path of the “Knowledge-Action-Belief” Ideological and Political Model in Psychology Curriculum","Abstract: The present study aimed to explore potential approaches to solve the problem of the insufficient integration of professional teaching contents and the ideological and political elements in the current psychology curriculum. Based on the traditional knowledge-attitude-practice (KAP) theory, this study addressed a new knowledge-action-belief (KPA) theory with psychological characteristics, which is expected to provide a guide for the construction of the ideological and political curriculum in psychology and other relevant domains. Key words: knowledge-action-belief, psychology, curriculum ideology"
1,0.983478260869565,2023,"Social Cognition and Psychological Theory","Promoting the Construction of New Forms of Chinese Community Psychology in the New Era","Abstract: It is the call and requirement of the times to build community psychology with Chinese characteristics. This paper clarifies that, under the guidance of the spirit of the 20th CPC National Congress, Chinese community psychology in the new era needs to adhere to the guidance of Chinese Marxism to promote theoretical construction, to take the community psychological construction of the new era as the field to help cultivate core socialist values, to build the service path of Chinese community psychology in the new era, and to promote the construction of people’s common prosperity. In a word, the theoretical construction and practical exploration of community psychology with Chinese characteristics need to pay attention to the new problems emerging in the community development in the new era, and to propose solutions and programs with Chinese characteristics to solve the problems of community development in China, as well as to strive to promote the construction of new forms of Chinese community psychology.
Key words: the spirit of the 20th CPC National Congress, the new era, Chinese community psychology, Marxism, excellent Chinese traditional culture"
1,0.981153846153846,2018,"Social Cognition and Psychological Theory","What is the Human Mind? Views of the Mind of the New Confucians","Abstract: With the development of cultural psychology in the twenty-first century, the connotations of the mind in contemporary psychology have been changed tremendously. It is necessary and urgent to analyze views of the mind (xin, 心) in Chinese traditional culture, which can provide an integral understanding on human mind, and can enrich basic psychological theories and benefit indigenous psychology studies. Therefore, this paper analyzes views of the mind of three New Confucians: Liang Shuming, Xiong Shili and Feng Youlan, and draws the following conclusions. Liang shuming (1879-1985), a famous figure of New Confucianism movement and a pioneer of Chinese indigenous psychology, put forward the point of view on the mind and laid the foundation of Confucian ethics. There are two stages in his view of the mind. First, he regarded intuition as the core element of human mind. During that period, he was mainly influenced by two Western philosophers, Pyotr Kropotkin and Henri Bergson. Second, Liang modified the original theory and argued that mind was constructed by three basic factors: instinct, reason and rationality (li xing, 理性). Among them, rationality which means a mixture of reason and emotion, is the core element. In addition, he also discussed specific multi-level connotation of the mind in the Confucian culture. Xiong Shili (1885-1968) who is widely regarded as the founder of New Confucianism, discussed compositions and connotations of the mind from a metaphysical perspective. He criticized scientific psychology for treating mind as nervous system activities or brain reactions to the objective world, and presented that the human mind is distinguished by the original mind (benxin, 本心) and the habituated mind (xixin, 习心). The two kinds of mind are not actually two separate entities, but a whole. The original mind is the substance (ti, 体), and the habituated mind is the function (yong, 用). He used the metaphor of the ocean and the waves to illustrate this point. Feng Youlan (1895-1990), another important figure of New Confucianism, expressed his connotations of the mind from the neorealism perspective. He argued that the mind consists of two parts: true mind (zhen ji de xin, 真际的心) and actual mind (shi ji de xin, 实际的心). The meaning of life can be changed by realizing mental state from the actual mind to the true mind. In addition, his philosophy of mind is similar with Western constructivism in some aspects. In the third part of the paper, the similarities and differences and deficiencies among the three scholars' views of the mind were discussed. We found that the mind of the New Confucianism is a multi-layered entity, whose aware, dynamic, changing and value-laden part or level is intentionally focused. It is different from views of traditional scientific psychology and humanistic psychology. Views of the mind of the new Confucians can not only enrich theories of cultural psychology and indigenous psychology, but also help researchers to draw historical lessons and get a new understanding on the human mind. Key words: views of the mind, mind, indigenous psychology, cultural psychology, new confucianism"
1,0.979090909090909,2018,"Social Cognition and Psychological Theory"," Questioning the Rice Theory: Also on the internal and external causes of Chinese preference for holistic thinking","Abstract:  Based on the significant differences between rice and wheat cultivation, Talhelm et al. (2014) divided the Chinese culture into two types, respectively: rice culture and wheat culture. The former is closer to East Asian culture, and the latter to Western culture. Although the “Rice Theory” provides a novel perspective, it remains to be tested before it’s established. For example, why is holistic-thinking prevalent in China? The “Rice Theory” argues that agricultural types result into cultural differences. Specifically, a long history of rice cultivation should make people live in the rice area more interdependent and thus prefer holistic-thinking, while that of wheat cultivation should make people live in the wheat area more individualistic and thus prefer analytical-thinking. Although the “Rice Theory” provides a new perspective in explaining the differences between rice culture and wheat culture and the prevalence of holistic-thinking in China, the real reason for Chinese, especially ancient Chinese, preferring holistic-thinking may not be a long history of rice cultivation. This paper focuses on explaining this new theory in details. Two contradictions come out when explaining Chinese preference for holistic-thinking by the “Rice Theory”. (1) Before the Southern Sung Dynasty (1127-1279), the majority of Chinese, who lived in wheat-growing area for a long time, used holistic-thinking, barely with any analytic-thinking. Moreover, the holistic-thinking had already reached a high degree no later than the Chhun Chhiu and Warring States Period (770-221 BC). (2) There is no firm evidence insofar to support that the wheat-growing northern Chinese are more culturally Western, no sufficient evidence to support that northerners were more analytical than southerners, or southerners were more holistic than northerners. In fact, northerners are also good at holistic-thinking. The founders and main representatives of “the hundred schools of thought” in pre-Qin period, who have largely influenced Chinese culture and holistic-thinking mode after the Qin and Han dynasties (221-220 BC), were mostly from the northern wheat region. Overall, these two contradictions suggested that the “Rice Theory” was invalid. The external reasons for the prevalence of holistic-thinking in China is probably the enlightenments and inspirations derived from flood control practices, especially the contrast between Yu’s success and Gun’s failure in flood control, which made the Chinese ancients intuitively realized the importance of the harmony between man and nature, and thus considering beings comprehensively (the prototype of holistic-thinking) in solving complicated problems. And the internal reasons is probably the proposal and acceptance of the Yin-Yang theory which contains the thought of Yin-Yang, the Five Elements theory which contains the thought of Five Elements, and the combined Yin Yang-Five Elements theory which contains the thought of Yin-Yang and Five Elements. They provide a complete set of thinking methods to utilize the holistic-thinking for Chinese. Due to the logical and systematic explaining of the birth, growing, sickness and death of the universe, these theories were regarded the rule of thinking by ancient Chinese. They also promoted ancient Chinese to use the holistic, dynamic, and self-adaptive thinking model to explain manifold natural and social phenomena. To sum up, (1) the “Rice Theory” is invalid to explain preference of holistic thinking among Chinese, due to its lack of cultural and ecological validity. (2) It is the flood control practice together with the Yin-Yang thinking, Five Elements thinking, and combined Yin Yang-Five Elements theory that lead to the holistic thinking of ancients Chinese. Insofar, the habit of using holistic thinking to understand and solve problems by Chinese is indestructible. Key words: holistic-thinking, Rice Theory, flood control, Yin-Yang theory, Five Elements theory, Yin-Yang and Five Elements theory"
1,0.968989547038328,2019,"Social Cognition and Psychological Theory","Qualitative Research in Psychology: History, Current Status, and Prospect","Abstract: The article reviewed the historical background, current situation, potentials, and challenges of qualitative research in psychology. Qualitative research in psychology exists a long past, but only a short history. The qualitative approach has been a tradition since the beginning of psychology. Many prominent psychologists such as Freud, Wundt, James, Piaget, and Bruner employed qualitative methods to establish their well-known theories. But this history was neglected by mainstream psychology for a long period of time. Most of the psychological textbooks emphasize quantitative approaches and results but do not mention the fact that many theories are qualitatively generated from qualitative data. Qualitative reports had been mostly rejected by mainstream journals. However, the recent development of institutions, publishing outlets, and research publications that aim at facilitating qualitative research implies the returning of qualitative traditions. Psychological institutions for qualitative research has been established in Germany, England, the USA, and China in recent decades. Several academic journals for qualitative reports also emerged in recent years. Qualitative research has gained momentum in most areas of Western psychology, such as narrative psychology, developmental psychology, counseling psychology, positive psychology, and sports psychology. The development of qualitative research in China is represented by the establishment of related institutions and is featured by the progress of research in life narrative and psychobiography. Scholars from both sides of the Taiwan Straits set up the Society for Life Narrative and Psychobiography and hold academic meetings regularly. Also, the first academic journal for psychobiography around the world has been found in 2014. Qualitative methods are also used by Chinese psychologists in studying the psychology of personality, social phenomenon, counseling, and sports. The nature of qualitative methods allows researchers to investigate these areas in the context of Chinese culture and to identify special concepts and distinctive features. Still, some problems remain. Qualitative research has been misunderstood to be a lack of standardized criterion in evaluating its quality. Nevertheless, the efforts to provide a set of principles for evaluating qualitative studies have been undergoing and a unified framework for designing and reviewing qualitative psychology research was proposed in recent years by APA. Another potential risk is proceduralism, in which qualitative research practice such as interviewing has been guided to follow a “standardized” procedure, in order to increase researchers’ productivity. Such a practice engenders the flexibility of qualitative methods. Despite such problems that are needed to be solved, the qualitative approach in psychology showed its potentials in studying the complex psychological phenomenon and in generating new concepts or theories. Qualitative methods have helped Chinese psychologists in identifying particular personality dimensions of Chinese people, forming the special theoretical framework in the field of social psychology for issues including attachment and trust, providing new insight into the practice of clinical therapy. The qualitative traditions in psychology seem to have been recognized by a lot of psychologists and are contributing to many areas of psychology. In general, rejuvenating qualitative psychology represents a period of turning to pluralism in the field of psychology. Key words: qualitative psychology, qualitative research, qualitative methods"
1,0.967241379310345,2016,"Social Cognition and Psychological Theory","The Relationship between Consciousness and Attention","Abstract: The relationship between attention and consciousness is one of the hot spots of cognitive psychology and neuroscience, and there has been controversy so far. On the basis of existing research, this paper analyzed and summarized systematically about the relationship between attention and awareness, from the early view of consciousness depending on attention, to the recent view of complete separation. We also reviewed the relationship between attention and consciousness at the neural level. At last, further direction was discussed based on the following points developing new experimental paradigm, considering the classification of attention, applying advanced technology and so on. Key words: attention, consciousness, neuroscience."
